Estimate Status,Year,Wave,Common Name,Fishing Mode,Fishing Area,Total Harvest (A+B1),PSE,Harvest (A+B1) Total Weight (lb),PSE,Landings (no.) without Size Information,** Contribution of Imputed Data to Total Harvest Rate,** Contribution of Imputed Data to Total Harvest Rate
FINAL,2014,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),891,99.3,0,.,891,0%,0%
FINAL,2014,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),618,100,0,.,618,0%,0%
FINAL,2014,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1632,89.1,10796,.,0,0%,0%
FINAL,2014,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1001,60.8,0,.,1001,0%,0%
FINAL,2014,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4672,56.9,11640,.,0,0%,0%
FINAL,2014,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1152,99.3,0,.,1152,0%,0%
FINAL,2014,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),15997,66.1,27508,.,0,0%,0%
FINAL,2015,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),780,60.7,2833,71.1,0,0%,0%
FINAL,2015,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),471,100.1,2082,100.1,0,0%,0%
FINAL,2015,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),5016,53.3,0,.,5016,0%,0%
FINAL,2015,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1864,100,0,.,1864,0%,0%
FINAL,2015,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),501,99.6,0,.,501,0%,0%
FINAL,2015,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),546,81.1,1040,81.3,0,0%,0%
FINAL,2016,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),701,65,0,.,701,0%,0%
FINAL,2016,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),906,62.6,0,.,906,0%,0%
FINAL,2016,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),182,100.2,372,100.2,0,0%,0%
FINAL,2016,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),415,100.1,849,100.1,0,0%,0%
FINAL,2016,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),4232,88.3,12689,.,0,0%,0%
FINAL,2016,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),875,99.8,0,.,875,0%,0%
FINAL,2016,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),491,73.8,0,.,491,0%,0%
FINAL,2016,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),546,100.1,0,.,546,0%,0%
FINAL,2016,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),115,100.1,0,.,115,0%,0%
FINAL,2016,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),365,64.8,0,.,365,0%,0%
FINAL,2017,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),769,98.5,0,.,769,0%,0%
FINAL,2017,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1480,87.4,6264,.,0,0%,0%
FINAL,2017,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),127,100,0,.,127,0%,0%
FINAL,2017,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),265,100,0,.,265,0%,0%
FINAL,2017,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),126,100,0,.,126,0%,0%
FINAL,2017,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),506,100,0,.,506,0%,0%
FINAL,2017,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),595,100,0,.,595,0%,0%
FINAL,2018,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),2557,99.2,0,.,2557,0%,0%
FINAL,2018,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),381,100.1,858,.,0,0%,0%
FINAL,2018,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3091,82.9,9607,.,0,0%,0%
FINAL,2018,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4891,98.4,0,.,4891,0%,0%
FINAL,2019,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11444,82,16904,.,0,0%,0%
FINAL,2019,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1617,100.1,0,.,1617,0%,0%
FINAL,2019,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1720,99.8,0,.,1720,0%,0%
FINAL,2019,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),7023,72.7,0,.,7023,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6725,66,11755,66.5,0,0%,0%
FINAL,2019,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1513,99.3,2645,99.4,0,0%,0%
FINAL,2020,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),623,100.1,0,.,623,100%,0%
FINAL,2020,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),1501,99.8,0,.,1501,100%,0%
FINAL,2020,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),515,100.1,941,.,0,0%,0%
FINAL,2020,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),751,100.3,1905,100.3,0,0%,0%
FINAL,2020,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),831,100.1,2106,100.1,0,0%,0%
FINAL,2020,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8681,100,0,.,8681,0%,0%
FINAL,2021,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),774,74.5,631,74.7,0,0%,0%
FINAL,2021,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),545,98.9,0,.,545,0%,0%
FINAL,2021,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1370,75.8,0,.,1370,0%,0%
FINAL,2021,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6341,61.4,3914,.,0,0%,0%
FINAL,2021,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3301,100.1,0,.,3301,0%,0%
PRELIMINARY,2022,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),3081,82.8,0,.,3081,0%,0%
PRELIMINARY,2022,JANUARY/FEBRUARY,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3806,70.7,8476,.,0,0%,0%
PRELIMINARY,2022,MARCH/APRIL,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),1132,100,0,.,1132,0%,0%
PRELIMINARY,2022,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),436,100.1,937,100.1,0,0%,0%
PRELIMINARY,2022,MAY/JUNE,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2230,68,4794,71.5,0,0%,0%
PRELIMINARY,2022,JULY/AUGUST,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),2574,71.8,9620,75.5,0,0%,0%
PRELIMINARY,2022,SEPTEMBER/OCTOBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),3783,100,0,.,3783,0,0
PRELIMINARY,2022,NOVEMBER/DECEMBER,RUBY SNAPPER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),14382,77.2,0,.,14382,0,0
